زمان,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
00:10                                                     1405/04/09,406.4mm,0W/m2,308.6degree,9.7°C,84.5%,1.9km/h,91.5kPa
00:10                                                     1405/04/10,406.4mm,0W/m2,97.9degree,14.3°C,57.0%,3.7km/h,91.7kPa
00:10                                                     1405/04/12,406.8mm,0W/m2,329.3degree,12.0°C,73.0%,5.0km/h,92.1kPa
00:10                                                     1405/04/13,355.2mm,0W/m2,235.2degree,15.3°C,55.4%,0.8km/h,91.6kPa
00:10                                                     1405/04/14,355.2mm,0W/m2,321.6degree,16.3°C,60.1%,5.9km/h,91.4kPa
00:10                                                     1405/04/15,355.2mm,0W/m2,175.0degree,9.0°C,77.2%,3.9km/h,91.9kPa
00:10                                                     1405/04/16,355.2mm,0W/m2,59.0degree,12.2°C,62.8%,14.9km/h,91.8kPa
00:10                                                     1405/04/17,355.2mm,0W/m2,327.9degree,8.3°C,70.9%,1.5km/h,92.3kPa
00:10                                                     1405/04/18,355.2mm,0W/m2,322.1degree,8.0°C,67.4%,3.2km/h,92.3kPa
00:10                                                     1405/04/19,355.2mm,0W/m2,283.5degree,11.3°C,64.6%,5.7km/h,91.8kPa
00:10                                                     1405/04/20,355.2mm,0W/m2,322.7degree,16.7°C,43.2%,1.6km/h,91.1kPa
00:10                                                     1405/04/21,355.2mm,0W/m2,219.2degree,21.7°C,45.7%,5.6km/h,91.2kPa
00:10                                                     1405/04/22,355.2mm,0W/m2,190.7degree,14.2°C,72.8%,6.7km/h,91.1kPa
00:10                                                     1405/04/23,366.8mm,0W/m2,188.4degree,12.0°C,93.5%,9.8km/h,91.7kPa
00:10                                                     1405/04/24,367.4mm,0W/m2,321.6degree,15.2°C,89.4%,4.6km/h,91.4kPa
00:10                                                     1405/04/25,376.8mm,0W/m2,331.0degree,14.7°C,79.9%,4.0km/h,91.6kPa
00:10                                                     1405/04/26,376.8mm,0W/m2,206.5degree,23.0°C,44.4%,3.0km/h,91.6kPa
00:10                                                     1405/04/27,376.8mm,0W/m2,322.0degree,14.9°C,62.0%,4.4km/h,91.7kPa
00:10                                                     1405/04/28,376.8mm,0W/m2,354.2degree,16.1°C,66.3%,3.6km/h,91.5kPa
00:10                                                     1405/04/29,376.8mm,0W/m2,328.0degree,18.0°C,48.0%,5.9km/h,91.6kPa
00:10                                                     1405/04/30,376.8mm,0W/m2,344.8degree,15.4°C,67.9%,2.5km/h,91.4kPa
00:10                                                     1405/05/01,376.8mm,0W/m2,25.2degree,16.2°C,67.0%,11.9km/h,91.8kPa
00:10                                                     1405/05/02,376.8mm,0W/m2,319.5degree,12.1°C,78.9%,6.4km/h,91.9kPa
00:10                                                     1405/05/04,376.8mm,0W/m2,320.9degree,16.1°C,57.5%,6.0km/h,91.8kPa
00:10                                                     1405/05/05,376.8mm,0W/m2,265.5degree,18.2°C,39.7%,5.9km/h,91.3kPa
00:10                                                     1405/05/06,376.8mm,0W/m2,297.0degree,21.9°C,34.3%,3.7km/h,91.3kPa
00:10                                                     1405/05/08,376.8mm,0W/m2,313.3degree,19.4°C,55.8%,5.8km/h,91.7kPa
00:10                                                     1405/05/09,376.8mm,0W/m2,355.9degree,21.2°C,45.6%,1.9km/h,91.5kPa
00:10                                                     1405/05/10,377.0mm,0W/m2,305.9degree,15.8°C,81.6%,4.8km/h,92.1kPa
00:10                                                     1405/05/11,378.4mm,0W/m2,334.4degree,17.2°C,64.2%,5.9km/h,92.1kPa
00:20                                                     1405/03/22,290.2mm,0W/m2,298.4degree,11.4°C,63.5%,2.1km/h,91.4kPa
00:20                                                     1405/03/23,290.6mm,0W/m2,299.8degree,11.5°C,66.1%,2.2km/h,91.8kPa
00:20                                                     1405/03/24,290.6mm,0W/m2,324.7degree,15.7°C,51.3%,6.5km/h,91.6kPa
00:20                                                     1405/03/25,290.6mm,0W/m2,145.3degree,18.1°C,49.2%,4.0km/h,91.2kPa
00:20                                                     1405/03/26,295.0mm,0W/m2,163.5degree,11.8°C,87.9%,2.4km/h,91.1kPa
00:20                                                     1405/03/27,295.0mm,0W/m2,106.4degree,14.5°C,73.3%,2.1km/h,91.2kPa
00:20                                                     1405/03/28,297.4mm,0W/m2,11.4degree,15.3°C,84.4%,3.0km/h,90.8kPa
00:20                                                     1405/03/29,304.2mm,0W/m2,340.1degree,11.9°C,65.6%,3.2km/h,90.9kPa
00:20                                                     1405/03/30,325.8mm,0W/m2,257.6degree,9.7°C,80.8%,4.5km/h,90.9kPa
00:20                                                     1405/03/31,325.8mm,0W/m2,314.3degree,13.8°C,58.5%,0.0km/h,91.3kPa
00:20                                                     1405/04/01,325.8mm,0W/m2,191.1degree,19.3°C,39.8%,15.8km/h,90.9kPa
00:20                                                     1405/04/02,350.4mm,0W/m2,320.3degree,10.0°C,78.6%,2.7km/h,91.6kPa
00:20                                                     1405/04/03,350.6mm,0W/m2,308.9degree,9.2°C,87.2%,3.0km/h,91.6kPa
00:20                                                     1405/04/04,350.6mm,0W/m2,276.5degree,10.5°C,80.3%,1.8km/h,91.3kPa
00:20                                                     1405/04/09,406.4mm,0W/m2,303.5degree,9.7°C,85.4%,0.7km/h,91.5kPa
00:20                                                     1405/04/10,406.4mm,0W/m2,119.1degree,14.1°C,61.4%,0.5km/h,91.8kPa
00:20                                                     1405/04/11,406.8mm,0W/m2,258.2degree,9.8°C,83.3%,1.8km/h,92.2kPa
00:20                                                     1405/04/12,406.8mm,0W/m2,355.5degree,11.5°C,77.2%,3.5km/h,92.1kPa
00:20                                                     1405/04/13,355.2mm,0W/m2,45.7degree,15.4°C,55.7%,0.2km/h,91.6kPa
00:20                                                     1405/04/14,355.2mm,0W/m2,319.4degree,16.5°C,58.9%,10.0km/h,91.4kPa
00:20                                                     1405/04/15,355.2mm,0W/m2,172.6degree,9.2°C,76.1%,3.3km/h,92.0kPa
00:20                                                     1405/04/16,355.2mm,0W/m2,82.6degree,12.2°C,63.1%,13.9km/h,91.8kPa
00:20                                                     1405/04/17,355.2mm,0W/m2,45.8degree,7.5°C,73.4%,0.8km/h,92.3kPa
00:20                                                     1405/04/18,355.2mm,0W/m2,349.3degree,8.2°C,66.6%,3.6km/h,92.3kPa
00:20                                                     1405/04/19,355.2mm,0W/m2,274.7degree,10.9°C,66.3%,6.7km/h,91.8kPa
00:20                                                     1405/04/20,355.2mm,0W/m2,357.2degree,16.6°C,44.3%,2.1km/h,91.1kPa
00:20                                                     1405/04/21,355.2mm,0W/m2,262.1degree,22.1°C,42.2%,5.4km/h,91.2kPa
00:20                                                     1405/04/22,355.2mm,0W/m2,181.9degree,14.3°C,71.8%,8.1km/h,91.1kPa
00:20                                                     1405/04/23,366.8mm,0W/m2,187.9degree,12.1°C,93.7%,7.7km/h,91.7kPa
00:20                                                     1405/04/24,367.4mm,0W/m2,17.2degree,15.3°C,89.3%,2.2km/h,91.4kPa
00:20                                                     1405/04/25,376.8mm,0W/m2,352.5degree,14.8°C,79.8%,2.3km/h,91.6kPa
00:20                                                     1405/04/26,376.8mm,0W/m2,52.5degree,21.9°C,53.2%,6.4km/h,91.7kPa
00:20                                                     1405/04/27,376.8mm,0W/m2,357.1degree,14.7°C,60.3%,6.8km/h,91.7kPa
00:20                                                     1405/04/28,376.8mm,0W/m2,336.7degree,14.7°C,72.4%,4.0km/h,91.5kPa
00:20                                                     1405/04/29,376.8mm,0W/m2,319.2degree,18.3°C,47.0%,6.1km/h,91.6kPa
00:20                                                     1405/04/30,376.8mm,0W/m2,319.5degree,15.5°C,66.6%,5.6km/h,91.4kPa
00:20                                                     1405/05/01,376.8mm,0W/m2,45.1degree,16.4°C,63.8%,13.1km/h,91.7kPa
00:20                                                     1405/05/02,376.8mm,0W/m2,325.5degree,11.9°C,81.0%,2.9km/h,91.9kPa
00:20                                                     1405/05/03,376.8mm,0W/m2,320.6degree,15.4°C,67.4%,1.3km/h,91.8kPa
00:20                                                     1405/05/04,376.8mm,0W/m2,323.6degree,16.0°C,57.1%,6.9km/h,91.8kPa
00:20                                                     1405/05/05,376.8mm,0W/m2,265.6degree,19.4°C,37.1%,5.1km/h,91.3kPa
00:20                                                     1405/05/06,376.8mm,0W/m2,301.7degree,22.5°C,35.4%,2.3km/h,91.3kPa
00:20                                                     1405/05/07,376.8mm,0W/m2,133.4degree,24.0°C,31.2%,0.0km/h,91.1kPa
00:20                                                     1405/05/09,376.8mm,0W/m2,320.1degree,20.8°C,46.7%,5.3km/h,91.5kPa
00:20                                                     1405/05/10,377.0mm,0W/m2,344.9degree,15.8°C,82.1%,5.8km/h,92.1kPa
00:20                                                     1405/05/11,378.4mm,0W/m2,322.2degree,17.3°C,63.0%,9.6km/h,92.1kPa
00:30                                                     1405/03/22,290.2mm,0W/m2,304.5degree,11.0°C,65.4%,4.2km/h,91.4kPa
00:30                                                     1405/03/23,290.6mm,0W/m2,278.2degree,11.2°C,67.5%,4.0km/h,91.8kPa
00:30                                                     1405/03/24,290.6mm,0W/m2,18.5degree,15.3°C,53.8%,2.4km/h,91.6kPa
00:30                                                     1405/03/25,290.6mm,0W/m2,13.4degree,18.0°C,48.6%,0.9km/h,91.2kPa
00:30                                                     1405/03/26,295.0mm,0W/m2,173.7degree,11.7°C,87.6%,1.9km/h,91.1kPa
00:30                                                     1405/03/27,295.0mm,0W/m2,41.5degree,14.7°C,72.8%,2.3km/h,91.2kPa
00:30                                                     1405/03/28,297.4mm,0W/m2,319.7degree,15.3°C,84.8%,4.5km/h,90.8kPa
00:30                                                     1405/03/29,304.2mm,0W/m2,305.0degree,12.0°C,66.7%,4.1km/h,90.9kPa
00:30                                                     1405/03/31,325.8mm,0W/m2,317.8degree,13.5°C,56.4%,3.9km/h,91.2kPa
00:30                                                     1405/04/01,325.8mm,0W/m2,195.0degree,18.7°C,43.2%,12.1km/h,91.0kPa
00:30                                                     1405/04/02,350.4mm,0W/m2,359.8degree,10.0°C,77.6%,6.0km/h,91.6kPa
00:30                                                     1405/04/04,350.6mm,0W/m2,124.6degree,10.0°C,81.8%,0.9km/h,91.3kPa
00:30                                                     1405/04/09,406.4mm,0W/m2,113.7degree,9.3°C,86.3%,0.0km/h,91.5kPa
00:30                                                     1405/04/10,406.4mm,0W/m2,265.4degree,13.3°C,63.5%,3.5km/h,91.7kPa
00:30                                                     1405/04/12,406.8mm,0W/m2,310.3degree,11.3°C,78.5%,6.2km/h,92.1kPa
00:30                                                     1405/04/13,355.2mm,0W/m2,229.9degree,15.5°C,56.4%,0.0km/h,91.6kPa
00:30                                                     1405/04/14,355.2mm,0W/m2,325.0degree,15.9°C,63.4%,7.5km/h,91.5kPa
00:30                                                     1405/04/15,355.2mm,0W/m2,172.1degree,9.3°C,75.6%,4.0km/h,92.0kPa
00:30                                                     1405/04/16,355.2mm,0W/m2,90.5degree,12.1°C,63.9%,12.7km/h,91.8kPa
00:30                                                     1405/04/17,355.2mm,0W/m2,65.4degree,7.3°C,74.6%,1.8km/h,92.2kPa
00:30                                                     1405/04/18,355.2mm,0W/m2,325.3degree,8.2°C,67.1%,1.1km/h,92.3kPa
00:30                                                     1405/04/19,355.2mm,0W/m2,258.8degree,10.7°C,67.4%,3.5km/h,91.8kPa
00:30                                                     1405/04/20,355.2mm,0W/m2,266.8degree,15.5°C,50.9%,1.1km/h,91.2kPa
00:30                                                     1405/04/21,355.2mm,0W/m2,101.0degree,21.9°C,44.4%,4.4km/h,91.2kPa
00:30                                                     1405/04/22,355.2mm,0W/m2,195.6degree,14.0°C,73.4%,9.9km/h,91.1kPa
00:30                                                     1405/04/23,366.8mm,0W/m2,186.8degree,12.2°C,93.6%,6.3km/h,91.7kPa
00:30                                                     1405/04/24,367.4mm,0W/m2,262.9degree,15.2°C,89.6%,1.6km/h,91.4kPa
00:30                                                     1405/04/25,376.8mm,0W/m2,41.9degree,14.6°C,79.7%,6.3km/h,91.6kPa
00:30                                                     1405/04/26,376.8mm,0W/m2,39.7degree,21.2°C,52.3%,2.8km/h,91.7kPa
00:30                                                     1405/04/27,376.8mm,0W/m2,328.6degree,14.7°C,60.1%,8.5km/h,91.6kPa
00:30                                                     1405/04/28,376.8mm,0W/m2,317.5degree,14.0°C,76.5%,2.5km/h,91.5kPa
00:30                                                     1405/04/29,376.8mm,0W/m2,333.0degree,18.1°C,48.5%,3.8km/h,91.6kPa
00:30                                                     1405/04/30,376.8mm,0W/m2,328.5degree,16.0°C,64.6%,6.6km/h,91.4kPa
00:30                                                     1405/05/01,376.8mm,0W/m2,57.1degree,16.5°C,61.9%,6.1km/h,91.7kPa
00:30                                                     1405/05/02,376.8mm,0W/m2,294.3degree,11.8°C,81.8%,1.2km/h,91.9kPa
00:30                                                     1405/05/03,376.8mm,0W/m2,281.9degree,15.3°C,67.9%,0.8km/h,91.8kPa
00:30                                                     1405/05/04,376.8mm,0W/m2,1.8degree,15.8°C,57.5%,3.4km/h,91.8kPa
00:30                                                     1405/05/05,376.8mm,0W/m2,268.4degree,18.0°C,40.9%,3.1km/h,91.3kPa
00:30                                                     1405/05/06,376.8mm,0W/m2,348.7degree,22.9°C,33.1%,0.1km/h,91.3kPa
00:30                                                     1405/05/07,376.8mm,0W/m2,244.6degree,23.3°C,32.4%,5.6km/h,91.0kPa
00:30                                                     1405/05/08,376.8mm,0W/m2,334.2degree,19.2°C,56.1%,5.9km/h,91.7kPa
00:30                                                     1405/05/09,376.8mm,0W/m2,321.9degree,20.6°C,47.1%,6.7km/h,91.5kPa
00:30                                                     1405/05/10,377.0mm,0W/m2,204.2degree,15.7°C,82.8%,1.1km/h,92.0kPa
00:30                                                     1405/05/11,378.4mm,0W/m2,348.0degree,17.3°C,62.6%,3.1km/h,92.0kPa
00:40                                                     1405/03/22,290.2mm,0W/m2,313.5degree,10.8°C,66.0%,3.1km/h,91.4kPa
00:40                                                     1405/03/23,290.6mm,0W/m2,262.8degree,11.3°C,67.0%,0.3km/h,91.8kPa
00:40                                                     1405/03/24,290.6mm,0W/m2,322.9degree,15.3°C,53.5%,7.4km/h,91.6kPa
00:40                                                     1405/03/25,290.6mm,0W/m2,211.9degree,18.4°C,45.8%,1.5km/h,91.2kPa
00:40                                                     1405/03/26,295.0mm,0W/m2,211.7degree,11.4°C,87.7%,2.4km/h,91.1kPa
00:40                                                     1405/03/27,295.0mm,0W/m2,69.6degree,14.5°C,73.8%,2.8km/h,91.2kPa
00:40                                                     1405/03/28,297.4mm,0W/m2,325.1degree,15.2°C,85.2%,9.3km/h,90.7kPa
00:40                                                     1405/03/29,304.2mm,0W/m2,295.0degree,11.3°C,70.2%,1.2km/h,90.9kPa
00:40                                                     1405/03/30,325.8mm,0W/m2,267.9degree,9.6°C,81.5%,2.6km/h,90.9kPa
00:40                                                     1405/03/31,325.8mm,0W/m2,324.0degree,13.7°C,53.2%,5.2km/h,91.1kPa
00:40                                                     1405/04/01,325.8mm,0W/m2,185.6degree,18.4°C,43.9%,15.6km/h,91.0kPa
00:40                                                     1405/04/03,350.6mm,0W/m2,310.5degree,8.9°C,86.8%,1.2km/h,91.6kPa
00:40                                                     1405/04/04,350.6mm,0W/m2,185.3degree,9.5°C,82.5%,2.7km/h,91.3kPa
00:40                                                     1405/04/09,406.4mm,0W/m2,175.2degree,9.0°C,87.1%,2.3km/h,91.5kPa
00:40                                                     1405/04/10,406.4mm,0W/m2,333.0degree,13.0°C,65.0%,1.5km/h,91.7kPa
00:40                                                     1405/04/11,406.8mm,0W/m2,275.6degree,9.9°C,82.9%,3.8km/h,92.2kPa
00:40                                                     1405/04/12,406.8mm,0W/m2,313.4degree,11.5°C,75.4%,4.0km/h,92.1kPa
00:40                                                     1405/04/13,355.2mm,0W/m2,274.6degree,15.3°C,57.2%,2.6km/h,91.6kPa
00:40                                                     1405/04/14,355.2mm,0W/m2,344.7degree,15.3°C,65.8%,4.3km/h,91.4kPa
00:40                                                     1405/04/15,355.2mm,0W/m2,163.2degree,9.2°C,75.6%,3.8km/h,92.0kPa
00:40                                                     1405/04/16,355.2mm,0W/m2,88.6degree,12.1°C,64.0%,7.6km/h,91.8kPa
00:40                                                     1405/04/17,355.2mm,0W/m2,101.3degree,7.7°C,72.2%,0.0km/h,92.2kPa
00:40                                                     1405/04/18,355.2mm,0W/m2,317.7degree,8.2°C,66.2%,4.1km/h,92.2kPa
00:40                                                     1405/04/19,355.2mm,0W/m2,292.0degree,11.3°C,66.1%,4.0km/h,91.7kPa
00:40                                                     1405/04/20,355.2mm,0W/m2,298.7degree,15.5°C,48.0%,2.7km/h,91.1kPa
00:40                                                     1405/04/21,355.2mm,0W/m2,161.8degree,22.1°C,42.5%,3.3km/h,91.1kPa
00:40                                                     1405/04/22,355.2mm,0W/m2,215.0degree,14.1°C,73.6%,10.3km/h,91.1kPa
00:40                                                     1405/04/23,366.8mm,0W/m2,222.0degree,12.1°C,93.9%,4.3km/h,91.7kPa
00:40                                                     1405/04/24,367.4mm,0W/m2,292.9degree,14.7°C,89.8%,2.4km/h,91.4kPa
00:40                                                     1405/04/25,376.8mm,0W/m2,338.3degree,14.4°C,82.4%,3.1km/h,91.6kPa
00:40                                                     1405/04/26,376.8mm,0W/m2,317.1degree,20.8°C,51.8%,7.5km/h,91.7kPa
00:40                                                     1405/04/27,376.8mm,0W/m2,326.0degree,14.8°C,59.0%,9.0km/h,91.6kPa
00:40                                                     1405/04/28,376.8mm,0W/m2,290.3degree,14.2°C,77.3%,2.4km/h,91.5kPa
00:40                                                     1405/04/29,376.8mm,0W/m2,315.7degree,17.9°C,48.1%,7.7km/h,91.6kPa
00:40                                                     1405/04/30,376.8mm,0W/m2,331.2degree,16.2°C,63.2%,4.4km/h,91.4kPa
00:40                                                     1405/05/02,376.8mm,0W/m2,271.7degree,11.8°C,82.9%,1.2km/h,91.9kPa
00:40                                                     1405/05/03,376.8mm,0W/m2,307.1degree,15.2°C,67.6%,1.8km/h,91.8kPa
00:40                                                     1405/05/04,376.8mm,0W/m2,338.8degree,15.7°C,58.0%,6.8km/h,91.8kPa
00:40                                                     1405/05/05,376.8mm,0W/m2,50.5degree,18.1°C,41.8%,3.7km/h,91.3kPa
00:40                                                     1405/05/07,376.8mm,0W/m2,317.5degree,22.0°C,35.5%,2.7km/h,91.0kPa
00:40                                                     1405/05/08,376.8mm,0W/m2,313.9degree,19.2°C,56.1%,8.4km/h,91.7kPa
00:40                                                     1405/05/09,376.8mm,0W/m2,319.4degree,20.6°C,47.0%,5.0km/h,91.5kPa
00:40                                                     1405/05/10,377.0mm,0W/m2,309.8degree,15.8°C,83.0%,5.2km/h,92.1kPa
00:40                                                     1405/05/11,378.4mm,0W/m2,317.4degree,17.1°C,63.0%,10.7km/h,92.1kPa
00:50                                                     1405/03/22,290.2mm,0W/m2,48.0degree,10.9°C,65.3%,0.6km/h,91.5kPa
00:50                                                     1405/03/23,290.6mm,0W/m2,296.1degree,11.4°C,65.3%,4.1km/h,91.8kPa
00:50                                                     1405/03/24,290.6mm,0W/m2,326.8degree,14.6°C,56.7%,0.5km/h,91.6kPa
00:50                                                     1405/03/25,290.6mm,0W/m2,168.8degree,18.6°C,45.7%,1.1km/h,91.2kPa
00:50                                                     1405/03/26,295.0mm,0W/m2,230.9degree,12.0°C,87.5%,2.9km/h,91.1kPa
00:50                                                     1405/03/27,295.0mm,0W/m2,113.7degree,14.5°C,74.4%,1.0km/h,91.2kPa
00:50                                                     1405/03/28,297.4mm,0W/m2,327.3degree,15.2°C,85.6%,5.2km/h,90.8kPa
00:50                                                     1405/03/29,304.2mm,0W/m2,303.9degree,11.2°C,68.1%,2.6km/h,90.9kPa
00:50                                                     1405/03/31,325.8mm,0W/m2,230.6degree,13.8°C,52.5%,2.7km/h,91.1kPa
00:50                                                     1405/04/01,325.8mm,0W/m2,201.7degree,17.7°C,48.9%,12.0km/h,91.1kPa
00:50                                                     1405/04/02,350.4mm,0W/m2,323.7degree,9.9°C,76.8%,5.7km/h,91.6kPa
00:50                                                     1405/04/04,350.6mm,0W/m2,252.9degree,9.3°C,84.2%,1.1km/h,91.3kPa
00:50                                                     1405/04/09,406.4mm,0W/m2,242.6degree,8.9°C,87.9%,2.3km/h,91.5kPa
00:50                                                     1405/04/10,406.4mm,0W/m2,312.1degree,12.5°C,69.2%,5.0km/h,91.8kPa
00:50                                                     1405/04/12,406.8mm,0W/m2,319.8degree,12.0°C,72.8%,3.2km/h,92.1kPa
00:50                                                     1405/04/13,355.2mm,0W/m2,309.5degree,15.2°C,55.7%,1.8km/h,91.6kPa
00:50                                                     1405/04/14,355.2mm,0W/m2,358.1degree,14.8°C,68.8%,0.1km/h,91.4kPa
00:50                                                     1405/04/15,355.2mm,0W/m2,154.1degree,9.2°C,75.8%,3.6km/h,92.0kPa
00:50                                                     1405/04/16,355.2mm,0W/m2,75.5degree,12.1°C,63.6%,17.9km/h,91.8kPa
00:50                                                     1405/04/17,355.2mm,0W/m2,81.7degree,8.0°C,70.8%,0.3km/h,92.2kPa
00:50                                                     1405/04/18,355.2mm,0W/m2,330.7degree,8.1°C,66.6%,3.5km/h,92.2kPa
00:50                                                     1405/04/19,355.2mm,0W/m2,269.4degree,11.7°C,63.8%,5.7km/h,91.7kPa
00:50                                                     1405/04/20,355.2mm,0W/m2,282.7degree,16.0°C,44.7%,3.7km/h,91.1kPa
